SubTime	NumProcs	ExeTime
749927	128	1740
749990	32	105
750170	32	30
750210	32	129
750471	128	7148
750829	32	120
751085	32	33
751464	64	4481
751844	128	5777
753694	64	3108
756997	32	156
757145	256	95
758419	256	85
759268	256	85
759434	32	234
759498	32	172
759781	256	91
759954	32	557
760026	32	59
760221	256	90
760477	256	23458
760525	32	1167
760564	32	114
760586	512	89
761316	512	23821
761536	128	803
761746	32	203
761784	128	4172
764872	64	71
765357	64	325
766012	64	498
766652	32	6543
766876	64	857
768181	32	9483
779295	64	4217
779715	32	2616
794777	64	5018
801363	512	17723
819369	512	151
819370	128	136
819609	64	1610
819621	32	99
820046	32	302
820074	128	127
820404	32	83
820534	512	285
820578	128	54
820639	128	706
820694	32	50
820751	32	142
820832	256	23
820839	256	593
820895	128	62
821008	32	59
821032	32	22
821083	32	71
821234	32	14073
821241	32	15
821261	32	92
821350	32	38
821395	32	131
821429	32	558
821463	512	3384
821756	32	150
821765	128	13
821980	64	150
821989	128	91
822221	128	110
822469	128	55
822604	32	184
822633	32	39
822762	64	186
822865	256	112
822886	128	27
823179	128	50
823225	32	744
823404	128	90
823428	128	308
823452	128	46
823591	32	32
823601	128	12858
823608	128	71
823788	128	666
824103	128	35
824117	32	18
824182	128	53
824208	32	11093
824469	128	42
824518	128	15
824540	128	15
824560	128	14
824580	128	15
824690	32	10659
824736	128	673
824822	32	10525
824830	32	3559
825012	64	10198
825232	64	3528
825616	128	31
826545	512	355
828793	64	3497
830427	128	61
831442	128	85
837319	128	8351
837601	512	7918
837877	128	9201
838030	64	7677
838128	32	7729
838190	32	7757
841782	128	3350
846038	512	3729
846038	512	3730
846039	256	59
846039	256	3728
846097	256	3670
846097	128	11670
846098	64	3730
846098	64	3730
846098	128	11669
846157	32	3669
846157	32	3670
846157	32	3670
846157	32	3671
846639	32	59
846698	32	60
846758	64	59
846758	128	182
846758	256	299
846817	32	60
846817	512	723
846997	256	1081
847658	512	8074
848077	256	481
848265	64	113
848265	128	113
848265	256	233
848317	32	61
848318	32	59
848557	256	1209
848558	256	7346
848799	128	8967
848918	64	8907
848918	32	8938
858171	64	50
858171	128	51
858171	256	51
858171	512	52
858220	32	3416
862302	32	182
862589	32	359
863817	64	4244
873468	64	8619
883119	64	2732
886247	32	5
890201	128	8840
890383	128	177
890802	128	8105
890973	128	1131
891356	256	142
891427	512	9866
891491	128	8024
891773	64	61
891852	64	115
892102	32	3953
892314	64	1149
893039	32	12413
893446	32	97
893488	64	2772
893652	128	1216
893725	32	371
893778	128	609
893819	256	139
893886	64	7403
894411	128	6417
894583	32	413
894591	256	132
895026	256	138
895230	64	140
